"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","RASM-4TW2E & ATW-CBX-01 - Heating Only","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","10.00","4","10","0","2","0"
"","EN14511_2_001","10.00","5","10","0","2","0"
"","EN14511_2_002","2.21","4","10","0","2","0"
"","EN14511_2_002","2.94","5","10","0","2","0"
"","EN14511_2_003","4.53","4","10","0","2","0"
"","EN14511_2_003","3.40","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","53","4","3","0","2","0"
"","EN12102_1_002","53","5","3","0","2","0"
"","EN14825_001","178","4","3","0","2","0"
"","EN14825_001","143","5","3","0","2","0"
"","EN14825_002","10.00","4","3","0","2","0"
"","EN14825_002","10.00","5","3","0","2","0"
"","EN14825_003","4.53","4","3","0","2","0"
"","EN14825_003","3.65","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.90","4","3","0","2","0"
"","EN14825_008","8.90","5","3","0","2","0"
"","EN14825_009","2.87","4","3","0","2","0"
"","EN14825_009","2.29","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","5.40","4","3","0","2","0"
"","EN14825_010","5.40","5","3","0","2","0"
"","EN14825_011","4.30","4","3","0","2","0"
"","EN14825_011","3.47","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","5.00","4","3","0","2","0"
"","EN14825_012","5.00","5","3","0","2","0"
"","EN14825_013","6.73","4","3","0","2","0"
"","EN14825_013","5.37","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.40","4","3","0","2","0"
"","EN14825_014","5.00","5","3","0","2","0"
"","EN14825_015","9.21","4","3","0","2","0"
"","EN14825_015","7.69","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","8.90","4","3","0","2","0"
